time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,18,8,0,0
2026-06-07 00:00:00+00:00,11,5,0,0
2026-06-08 00:00:00+00:00,16,6,0,0
2026-06-09 00:00:00+00:00,10,4,0,0
2026-06-10 00:00:00+00:00,11,6,0,0
2026-06-11 00:00:00+00:00,16,6,0,0
2026-06-12 00:00:00+00:00,20,9,0,0
2026-06-13 00:00:00+00:00,26,10,0,0
2026-06-14 00:00:00+00:00,17,6,0,0
2026-06-15 00:00:00+00:00,23,8,0,0
2026-06-16 00:00:00+00:00,13,6,0,0
2026-06-17 00:00:00+00:00,27,8,0,0
2026-06-18 00:00:00+00:00,18,8,0,0
2026-06-19 00:00:00+00:00,51,12,0,0
