time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,3,2,0,0
2026-08-01 00:00:00+00:00,43,15,0,0
2026-08-02 00:00:00+00:00,3,2,0,0
2026-08-03 00:00:00+00:00,1,1,0,0
2026-08-04 00:00:00+00:00,14,8,0,0
2026-08-05 00:00:00+00:00,11,5,0,0
2026-08-06 00:00:00+00:00,0,0,0,0
2026-08-07 00:00:00+00:00,13,6,1,1
2026-08-08 00:00:00+00:00,14,4,0,0
2026-08-09 00:00:00+00:00,10,5,0,0
2026-08-10 00:00:00+00:00,4,3,0,0
2026-08-11 00:00:00+00:00,4,3,1,1
2026-08-12 00:00:00+00:00,11,5,1,1
2026-08-13 00:00:00+00:00,12,6,0,0
