time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,10,4,0,0
2026-04-11 00:00:00+00:00,10,5,0,0
2026-04-12 00:00:00+00:00,25,7,0,0
2026-04-13 00:00:00+00:00,15,8,0,0
2026-04-14 00:00:00+00:00,17,7,0,0
2026-04-15 00:00:00+00:00,16,6,0,0
2026-04-16 00:00:00+00:00,11,5,0,0
2026-04-17 00:00:00+00:00,12,6,0,0
2026-04-18 00:00:00+00:00,5,4,0,0
2026-04-19 00:00:00+00:00,9,5,0,0
2026-04-20 00:00:00+00:00,31,16,2,1
2026-04-21 00:00:00+00:00,53,24,0,0
2026-04-22 00:00:00+00:00,51,22,0,0
2026-04-23 00:00:00+00:00,58,20,1,1
